	cat_title	type_1	type_2	type_3	markup
1	Говядина (кроме бескостного мяса)	Мясо и мясные продукты	Продукты недлительного хранения	Необработанные продукты	12,76
2	Свинина (кроме бескостного мяса)	Мясо и мясные продукты	Продукты недлительного хранения	Необработанные продукты	14,2
3	Баранина (кроме бескостного мяса)	Мясо и мясные продукты	Продукты недлительного хранения	Необработанные продукты	
4	Куры охлажденные и мороженые	Мясо и мясные продукты	Продукты недлительного хранения	Необработанные продукты	11,7
5	Рыба мороженая неразделанная	Рыба и морепродукты	Продукты недлительного хранения	Необработанные продукты	21,49
6	Сельдь соленая	Рыба и морепродукты	Продукты недлительного хранения	Необработанные продукты	15,9
7	Масло сливочное	Молочные продукты и яйца	Продукты недлительного хранения	Обработанные продукты	
8	Масло подсолнечное	Молочные продукты и яйца	Продукты недлительного хранения	Обработанные продукты	14,19
9	Маргарин	Молочные продукты и яйца	Продукты недлительного хранения	Обработанные продукты	
10	Молоко питьевое цельное пастеризованное 2,5-3,2% жирности	Молочные продукты и яйца	Продукты недлительного хранения	Необработанные продукты	12,26
11	Сметана	Молочные продукты и яйца	Продукты недлительного хранения	Обработанные продукты	14,48
12	Творог нежирный	Молочные продукты и яйца	Продукты недлительного хранения	Обработанные продукты	19,77
13	Сыры сычужные твердые и мягкие	Молочные продукты и яйца	Продукты недлительного хранения	Обработанные продукты	17,49
14	Яйца куриные	Молочные продукты и яйца	Продукты недлительного хранения	Необработанные продукты	12,3
15	Сахар-песок	Сахар-песок	Продукты длительного хранения	Обработанные продукты	13,3
16	Мука пшеничная	Мучные изделия	Продукты длительного хранения	Обработанные продукты	
17	Хлеб из ржаной муки и из смеси муки ржаной и пшеничной	Мучные изделия	Продукты длительного хранения	Обработанные продукты	21,28
18	Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов	Мучные изделия	Продукты длительного хранения	Обработанные продукты	18,91
19	Рис шлифованный	Крупы и бобовые	Продукты длительного хранения	Необработанные продукты	
20	Пшено	Крупы и бобовые	Продукты длительного хранения	Необработанные продукты	
21	Горох и фасоль	Крупы и бобовые	Продукты длительного хранения	Необработанные продукты	
22	Вермишель	Мучные изделия	Продукты длительного хранения	Обработанные продукты	22,26
23	Картофель	Овощи	Продукты недлительного хранения	Необработанные продукты	
24	Капуста белокочанная свежая	Овощи	Продукты недлительного хранения	Необработанные продукты	
25	Морковь	Овощи	Продукты недлительного хранения	Необработанные продукты	
26	Огурцы свежие	Овощи	Продукты недлительного хранения	Необработанные продукты	
27	Лук репчатый	Овощи	Продукты недлительного хранения	Необработанные продукты	
28	Яблоки	Фрукты	Продукты недлительного хранения	Необработанные продукты	
29	Печенье	Сладости и кондитерские изделия	Продукты длительного хранения	Обработанные продукты	
30	Карамель	Сладости и кондитерские изделия	Продукты длительного хранения	Обработанные продукты	
31	Чай черный байховый	Чай и специи	Продукты длительного хранения	Обработанные продукты	
32	Соль поваренная пищевая	Чай и специи	Продукты длительного хранения	Обработанные продукты	
33	Перец черный (горошек)	Чай и специи	Продукты длительного хранения	Обработанные продукты	
